mtu_name,pt_idx,pt_type,attached_body,loc_in_body_x,loc_in_body_y,loc_in_body_z
trex_flexor_tibia_medial,1,origin,femur,-0.1,0.35,0
trex_flexor_tibia_medial,2,viapoint,femur,-0.1,-0.65,0
trex_flexor_tibia_medial,3,viapoint,tibia,-0.1,0.6,0
trex_flexor_tibia_medial,4,viapoint,tibia,-0.09,0.38,0
trex_flexor_tibia_medial,5,insertion,tibia,-0.07,0.1,0.045
trex_flexor_tibia_lateral,1,origin,femur,-0.1,0.35,0
trex_flexor_tibia_lateral,2,viapoint,femur,-0.1,-0.65,0
trex_flexor_tibia_lateral,3,viapoint,tibia,-0.1,0.6,0
trex_flexor_tibia_lateral,4,viapoint,tibia,-0.09,0.38,0
trex_flexor_tibia_lateral,5,insertion,tibia,-0.07,0.1,-0.045
trex_flexor_foot,1,origin,femur,-0.1,0.35,0
trex_flexor_foot,2,viapoint,femur,-0.1,-0.65,0
trex_flexor_foot,3,viapoint,tibia,-0.1,0.6,0
trex_flexor_foot,4,insertion,foot,-0.08,0.1,0
